cause_of_death,category_human,train_test
4-aminophenol derivatives,none,train
46xx true hermaphrodite,none,test
abdominal actinomycosis,none,train
abdominal aortic aneurysm ruptured,none,test
abdominal aortic aneurysm without mention of rupture,none,train
abnormal secretion of gastrin,none,train
abnormal uterine and vaginal bleeding unspecified,none,test
abnormal weight loss,none,test
abscess furuncle and carbuncle of nose,none,train
abscess of bartholin gland,none,test
abscess of bursa,none,train
abscess of external ear,none,train
abscess of intestine,none,train
abscess of liver,none,train
abscess of lung with pneumonia,pulmonary disease,test
abscess of lung without pneumonia,pulmonary disease,train
abscess of mediastinum,none,test
abscess of prostate,none,test
abscess of salivary gland,none,test
abscess of spleen,none,train
abscess of tendon sheath,none,train
abscess of vulva,none,train
accessory kidney,none,train
accident on board watercraft without accident to watercraft not causing drowning and submersion fishing boat,none,train
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,test
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,test
accident on board watercraft without accident to watercraft not causing drowning and submersion other unpowered watercraft,none,train
accident on board watercraft without accident to watercraft not causing drowning and submersion passenger ship,none,train
accident on board watercraft without accident to watercraft not causing drowning and submersion sailboat,none,train
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,test
accident to commercial fixed-wing aircraft injuring occupant,none,test
accident to other private fixed-wing aircraft injuring occupant,none,train
accident to watercraft causing drowning and submersion canoe or kayak,none,test
accident to watercraft causing drowning and submersion fishing boat,none,train
accident to watercraft causing drowning and submersion inflatable craft nonpowered,none,train
accident to watercraft causing drowning and submersion merchant ship,none,train
accident to watercraft causing drowning and submersion other powered watercraft,none,train
accident to watercraft causing drowning and submersion other unpowered watercraft,none,test
accident to watercraft causing drowning and submersion sailboat,none,train
accident to watercraft causing drowning and submersion unspecified watercraft,none,train
accident to watercraft causing other injury merchant ship,none,train
accident to watercraft causing other injury other powered watercraft,none,test
accident to watercraft causing other injury unspecified watercraft,none,train
achalasia of cardia,none,train
achondroplasia,none,test
acidosis,none,train
acne vulgaris,none,test
acquired coagulation factor deficiency,none,test
acquired deformity of chest and rib,none,test
acquired deformity of limb unspecified,none,test
acquired deformity of musculoskeletal system unspecified,none,test
acquired haemolytic anaemia unspecified,none,train
acquired hydrocephalus of newborn 2016 onwards,none,test
acquired pure red cell aplasia unspecified,none,train
acromegaly and pituitary gigantism,none,train
actinomycetoma,none,test
actinomycosis unspecified,none,train
acute abdomen,none,train
