cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999900620968546
abdominal aortic aneurysm ruptured,none,0.9576286184989699
abnormal uterine and vaginal bleeding unspecified,none,0.9999957686520553
abnormal weight loss,none,0.99999286298615
abscess of bartholin gland,none,0.9999951278420582
abscess of lung with pneumonia,pulmonary disease,0.7309454682009873
abscess of mediastinum,none,0.9740227350258137
abscess of prostate,none,0.9940827366682917
abscess of salivary gland,none,0.9999671603035447
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999582962599963
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999779642375998
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999764890326761
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999974526779923
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999971846570741
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.9999964246428272
accident to watercraft causing other injury other powered watercraft,none,0.9999950389994431
achondroplasia,none,0.9999995679801056
acne vulgaris,none,0.9999990615514915
acquired coagulation factor deficiency,none,0.9999989871425767
acquired deformity of chest and rib,none,0.9999970206592268
acquired deformity of limb unspecified,none,0.9999980335146725
acquired deformity of musculoskeletal system unspecified,none,0.9999965286657752
acquired hydrocephalus of newborn 2016 onwards,none,0.9999868140214909
actinomycetoma,none,0.9999988231443911
acute amoebic dysentery,none,0.9999989423479201
acute and subacute haemorrhagic leukoencephalitis [hurst],none,0.999951486031972
acute appendicitis other and unspecified,none,0.9999939806063316
acute appendicitis with generalized peritonitis - 2008 classification,none,0.9999030184628046
acute bronchiolitis due to other specified organisms,none,0.6791140194924472
acute bronchitis due to other specified organisms,none,0.8174347454990883
acute bronchitis due to respiratory syncytial virus,none,0.9840826466427121
acute cystitis,none,0.99999901675686
acute disseminated encephalitis,none,0.9999964094624771
acute endocarditis unspecified,none,0.9989270823575631
acute gastroenteropathy due to norwalk agent,none,0.9999972886800584
acute hepatitis b without delta-agent with hepatic coma,none,0.999991328530636
acute hepatitis e,none,0.9999984207392423
acute inflammation of orbit,none,0.9999983015358325
acute laryngitis,none,0.8513357616025937
acute laryngotracheitis,none,0.9959129635932977
acute meningococcaemia,none,0.9999975270867788
acute monoblastic/monocytic leukaemia,none,0.9901755802358126
acute myelomonocytic leukaemia,none,0.9940543699304702
acute nephritic syndrome focal and segmental glomerular lesions,none,0.9999911500999826
acute renal failure unspecified,none,0.9999936677919662
acute renal failure with tubular necrosis,none,0.999983729205095
acute salpingitis and oophoritis,none,0.9999975567010188
acute sinusitis unspecified,none,0.9996539141915598
acute thyroiditis,none,0.9999985399427375
acute tonsillitis due to other specified organisms,none,0.9999965438460561
acute tracheitis,none,0.9959189924670248
acute transmural myocardial infarction of other sites,ischaemic heart disease,0.8519022488517516
acute vascular disorders of intestine,none,0.999994547007137
adjustment disorders,none,0.9999966774833866
adrenogenital disorder unspecified,none,0.9999992551639639
adult hypertrophic pyloric stenosis,none,0.9999983463303752
alcoholic cardiomyopathy,none,0.9932934456231345
alcoholic hepatitis,none,0.9999835652098523
aluminosis of lung,none,0.49991817618738105
alzheimer disease unspecified,none,0.9999957982662148
amniotic fluid embolism,none,0.9999993743675443
anaemia due to enzyme disorder unspecified,none,0.999998674326631
anaemia unspecified,none,0.9999969158898333
anal prolapse,none,1.0
anaplastic large cell lymphoma alk-negative,none,0.999983341986541
anaplastic large cell lymphoma alk-positive,none,0.999996111827811
anencephaly,none,0.9999977503132281
aneurysm and dissection of carotid artery,none,0.9963574501591365
aneurysm and dissection of iliac artery,none,0.9999965734603238
aneurysm and dissection of unspecified site,none,0.9999951878166481
aneurysm of heart,none,0.946542788728204
angioimmunoblastic t-cell lymphoma,none,0.9999896596953449
annular pancreas,none,0.9999995679801056
anoxic brain damage not elsewhere classified,none,0.9998535471136287
anthrax sepsis,none,0.9999989423479201
antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,none,0.9999535579376342
anticoagulant antagonists vitamin k and other coagulants,none,0.9999892724741392
aortic aneurysm of unspecified site without mention of rupture,none,0.9995564663239469
aplastic anaemia unspecified,none,0.9999702147084678
appendicular concretions,none,0.9999989423479485
arnold-chiari syndrome,none,0.9999983463303894
arthritis unspecified,none,0.999999493571153
asphyxia,none,0.9999992999586204
ataxic gait,none,0.9999988975533081
atherosclerosis of other arteries,none,0.7546893892140453
atherosclerotic heart disease,ischaemic heart disease,0.9984920768440271
atresia and stenosis of ureter,none,0.9999976462901532
atresia of bile ducts,none,0.9999985103284967
atresia of foramina of magendie and luschka,none,0.9999938021750345
atresia of oesophagus with tracheo-oesophageal fistula,none,0.9999915077078537
atresia of oesophagus without fistula,none,0.9999945918014262
atresia of pulmonary artery,none,0.997807201675517
atrioventricular block first degree,none,0.9997883321147218
atrioventricular septal defect,none,0.9999978846969587
autoimmune hepatitis,none,0.9999994191622202
autoimmune polyglandular failure,none,0.9999985551231341
autonomic dysreflexia,none,0.99999901675686
b-cell lymphoma unspecified,none,0.9999823883735423
background retinopathy and retinal vascular changes,none,0.9999924165352699
bacterial intestinal infection unspecified,none,0.9999933405436447
bacterial meningoencephalitis and meningomyelitis not elsewhere classified,none,0.9999938173553876
bacterial pneumonia unspecified,none,0.6223581723538667
benign intracranial hypertension,none,0.9999992999586204
