cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999927589634413
abdominal aortic aneurysm ruptured,none,0.9626299898463774
abnormal uterine and vaginal bleeding unspecified,none,0.9999970054788819
abnormal weight loss,none,0.9999934590001993
abscess of bartholin gland,none,0.9999967966865887
abscess of lung with pneumonia,none,0.2688966489522574
abscess of mediastinum,none,0.9999896893093235
abscess of prostate,none,0.9988266677164351
abscess of salivary gland,none,0.9999898085121188
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999646882170936
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999826874970762
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999689794070125
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999976462901958
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999951285883661
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.9999956054008337
accident to watercraft causing other injury other powered watercraft,none,0.999996260645062
achondroplasia,none,1.0
acne vulgaris,none,0.9999996871837232
acquired coagulation factor deficiency,none,0.9999998063873693
acquired deformity of chest and rib,none,0.9999983615107689
acquired deformity of limb unspecified,none,0.9999976759044535
acquired deformity of musculoskeletal system unspecified,none,0.9999991063461252
acquired hydrocephalus of newborn 2016 onwards,none,0.9999902708880402
actinomycetoma,none,0.9999998063873693
acute amoebic dysentery,none,0.9999991807550489
acute and subacute haemorrhagic leukoencephalitis [hurst],none,0.99995537477694
acute appendicitis other and unspecified,none,0.999994979024848
acute appendicitis with generalized peritonitis - 2008 classification,none,0.999965104295219
acute bronchiolitis due to other specified organisms,none,0.99538205012657
acute bronchitis due to other specified organisms,none,0.9971465157957242
acute bronchitis due to respiratory syncytial virus,none,0.999971451503518
acute cystitis,none,0.9999992551639781
acute disseminated encephalitis,none,0.9999994191622202
acute endocarditis unspecified,none,0.9996898201725951
acute gastroenteropathy due to norwalk agent,none,0.9999976759043967
acute hepatitis b without delta-agent with hepatic coma,none,0.9999944278040751
acute hepatitis e,none,0.999999493571153
acute inflammation of orbit,none,0.9999967222777286
acute laryngitis,none,0.9769893123858091
acute laryngotracheitis,none,0.9999788867407681
acute meningococcaemia,none,0.9999966774832587
acute monoblastic/monocytic leukaemia,none,0.9705631382816489
acute myelomonocytic leukaemia,none,0.9958956092453978
acute nephritic syndrome focal and segmental glomerular lesions,none,0.9999925357380777
acute renal failure unspecified,none,0.999998063128899
acute renal failure with tubular necrosis,none,0.9999905685215078
acute salpingitis and oophoritis,none,0.9999977206989966
acute sinusitis unspecified,none,0.999998137537802
acute thyroiditis,none,0.9999991359604119
acute tonsillitis due to other specified organisms,none,0.9999976462901958
acute tracheitis,none,0.9998886107521626
acute transmural myocardial infarction of other sites,ischaemic heart disease,0.7309003991358778
acute vascular disorders of intestine,none,0.999997482292216
adjustment disorders,none,0.9999978695166434
adrenogenital disorder unspecified,none,0.9999998063873693
