cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999949790248622
abdominal aortic aneurysm ruptured,ischaemic heart disease,0.0229757134066424
abnormal uterine and vaginal bleeding unspecified,none,0.9999941149893709
abnormal weight loss,none,0.9961809114100476
abscess of bartholin gland,none,0.9999974671119635
abscess of lung with pneumonia,pulmonary disease,0.9397876393847922
abscess of mediastinum,pulmonary disease,0.05340132668585306
abscess of prostate,prostate cancer,0.05340232135268107
abscess of salivary gland,oral cavity cancer,0.04741039261077705
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999450356803347
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999720338177194
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999602482335763
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999970502734518
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999951582025493
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.9999953373804248
accident to watercraft causing other injury other powered watercraft,none,0.9999927741435228
achondroplasia,none,0.999999612774776
acne vulgaris,none,0.999998271921542
acquired coagulation factor deficiency,none,0.9997237463080745
acquired deformity of chest and rib,pulmonary disease,0.01590348126762797
acquired deformity of limb unspecified,none,0.9999865156427966
acquired deformity of musculoskeletal system unspecified,none,0.9999094844655636
acquired hydrocephalus of newborn 2016 onwards,none,0.9999797515091279
actinomycetoma,none,0.997806520869714
acute amoebic dysentery,none,0.9999982719215704
acute and subacute haemorrhagic leukoencephalitis [hurst],cerebrovascular disease,0.017984847215161633
acute appendicitis other and unspecified,none,0.9994712315822806
acute appendicitis with generalized peritonitis - 2008 classification,none,0.9998491898678612
acute bronchiolitis due to other specified organisms,pulmonary disease,0.9840275304419991
acute bronchitis due to other specified organisms,pulmonary disease,0.9997773229807202
acute bronchitis due to respiratory syncytial virus,pulmonary disease,0.9953780045098125
acute cystitis,bladder cancer,0.02893008553599511
acute disseminated encephalitis,cerebrovascular disease,0.6512600984781654
acute endocarditis unspecified,ischaemic heart disease,0.6128905336852463
acute gastroenteropathy due to norwalk agent,colorectal cancer,0.009697971943808033
acute hepatitis b without delta-agent with hepatic coma,pancreatic cancer,0.059658482839481504
acute hepatitis e,pancreatic cancer,0.749509385072389
acute inflammation of orbit,pulmonary disease,0.032359925104437734
acute laryngitis,larynx cancer,0.9010360905296171
acute laryngotracheitis,larynx cancer,0.8306757312443123
acute meningococcaemia,cerebrovascular disease,0.22124433266009733
acute monoblastic/monocytic leukaemia,acute myeloid leukemia,0.9231274866393897
acute myelomonocytic leukaemia,acute myeloid leukemia,0.9984530938542693
acute nephritic syndrome focal and segmental glomerular lesions,kidney cancer,0.9562483560822252
acute renal failure unspecified,kidney cancer,0.9681786220873609
acute renal failure with tubular necrosis,kidney cancer,0.9976508598645497
acute salpingitis and oophoritis,none,0.9911034521695954
acute sinusitis unspecified,pulmonary disease,0.9271384427046603
acute thyroiditis,none,0.9865329759900984
acute tonsillitis due to other specified organisms,oral cavity cancer,0.41485022169108454
acute tracheitis,larynx cancer,0.5451859782711056
acute transmural myocardial infarction of other sites,ischaemic heart disease,0.999534952867991
acute vascular disorders of intestine,colorectal cancer,0.7925984780093849
adjustment disorders,none,0.9995123477212893
adrenogenital disorder unspecified,none,0.9989178248187498
adult hypertrophic pyloric stenosis,stomach cancer,0.16399855360243792
alcoholic cardiomyopathy,ischaemic heart disease,0.8338437134232918
alcoholic hepatitis,pancreatic cancer,0.893760882398781
aluminosis of lung,pulmonary disease,0.7695922743547585
alzheimer disease unspecified,cerebrovascular disease,0.0066916102405615045
amniotic fluid embolism,pulmonary disease,0.009689756084547136
anaemia due to enzyme disorder unspecified,acute myeloid leukemia,0.01788541843470915
anaemia unspecified,acute myeloid leukemia,0.9218590876418598
anal prolapse,colorectal cancer,0.8159602093952594
anaplastic large cell lymphoma alk-negative,acute myeloid leukemia,0.09309176878894823
anaplastic large cell lymphoma alk-positive,acute myeloid leukemia,0.9991270541320411
anencephaly,none,0.9939825774354495
aneurysm and dissection of carotid artery,ischaemic heart disease,0.6328479712305395
aneurysm and dissection of iliac artery,ischaemic heart disease,0.9844143980534029
aneurysm and dissection of unspecified site,ischaemic heart disease,0.9930942989975903
aneurysm of heart,ischaemic heart disease,0.9997611042643545
angioimmunoblastic t-cell lymphoma,acute myeloid leukemia,0.9691551774017643
annular pancreas,pancreatic cancer,0.7133235738641076
anoxic brain damage not elsewhere classified,cerebrovascular disease,0.9160213211471281
anthrax sepsis,pulmonary disease,0.03298337371079812
antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,pulmonary disease,0.05121293592129591
anticoagulant antagonists vitamin k and other coagulants,ischaemic heart disease,0.18653684527577014
aortic aneurysm of unspecified site without mention of rupture,ischaemic heart disease,0.9971607470648565
aplastic anaemia unspecified,acute myeloid leukemia,0.9762991878791268
appendicular concretions,colorectal cancer,0.677235170153928
arnold-chiari syndrome,cerebrovascular disease,0.14759931752738795
arthritis unspecified,pulmonary disease,0.012341223037171728
asphyxia,pulmonary disease,0.9271632186958567
ataxic gait,cerebrovascular disease,0.8449933575561965
atherosclerosis of other arteries,ischaemic heart disease,0.9958836742071578
atherosclerotic heart disease,ischaemic heart disease,0.9999538851727662
atresia and stenosis of ureter,kidney cancer,0.9467901568479649
atresia of bile ducts,pancreatic cancer,0.8590596358389513
atresia of foramina of magendie and luschka,cerebrovascular disease,0.6055548814598981
atresia of oesophagus with tracheo-oesophageal fistula,esophageal cancer,0.8085627477654037
atresia of oesophagus without fistula,esophageal cancer,0.9996451980340841
atresia of pulmonary artery,pulmonary disease,0.9498661005541794
atrioventricular block first degree,ischaemic heart disease,0.9710545976205682
atrioventricular septal defect,ischaemic heart disease,0.8566742642584934
autoimmune hepatitis,pancreatic cancer,0.9826835762667206
autoimmune polyglandular failure,pancreatic cancer,0.148760553474646
autonomic dysreflexia,cerebrovascular disease,0.4906094587916828
b-cell lymphoma unspecified,acute myeloid leukemia,0.9965527904742917
background retinopathy and retinal vascular changes,cerebrovascular disease,0.8687677406368026
bacterial intestinal infection unspecified,colorectal cancer,0.7639936679658423
bacterial meningoencephalitis and meningomyelitis not elsewhere classified,none,0.9999942197585988
bacterial pneumonia unspecified,pulmonary disease,0.3207757677330701
benign intracranial hypertension,none,0.9999978695166718
benign lipomatous neoplasm of intrathoracic organs,none,0.9999835355960551
benign neoplasm adrenal gland,none,0.9999943678292326
benign neoplasm appendix,none,0.9999797059689797
benign neoplasm bone and articular cartilage unspecified,none,0.9999988975533081
benign neoplasm caecum,none,0.9999880052965596
benign neoplasm connective and other soft tissue of pelvis,none,0.9999967374580693
benign neoplasm extrahepatic bile ducts,none,0.9999955006314748
benign neoplasm lacrimal gland and duct,none,0.9999995679801056
benign neoplasm lower jaw bone,none,0.9999948446413089
benign neoplasm lymph nodes,none,1.0
benign neoplasm nasopharynx,none,0.9993941460712747
