cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999988231444196
abdominal aortic aneurysm ruptured,none,0.9999909261287162
abnormal uterine and vaginal bleeding unspecified,none,0.9999989423479485
abnormal weight loss,none,0.9999987783497845
abscess of bartholin gland,none,0.9999960814671064
abscess of lung with pneumonia,none,0.9998415274892719
abscess of mediastinum,none,0.99999901675686
abscess of prostate,none,0.9999996871837232
abscess of salivary gland,none,1.0
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999973782692256
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999981527181214
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999985103284967
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999991807550489
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999976311098983
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.99999901675686
accident to watercraft causing other injury other powered watercraft,none,0.9999986295320168
achondroplasia,none,0.9999948894358105
acne vulgaris,none,0.9999968710952268
acquired coagulation factor deficiency,none,0.9999986591462183
acquired deformity of chest and rib,none,0.999999493571153
acquired deformity of limb unspecified,none,0.999999612774776
acquired deformity of musculoskeletal system unspecified,none,0.9999983463303752
acquired hydrocephalus of newborn 2016 onwards,none,0.9999644635065915
actinomycetoma,none,0.9999951278421861
acute amoebic dysentery,none,0.9999913133504059
acute and subacute haemorrhagic leukoencephalitis [hurst],none,0.9999799003239441
acute appendicitis other and unspecified,none,0.9999989423479343
acute appendicitis with generalized peritonitis - 2008 classification,none,0.9999973334746837
acute bronchiolitis due to other specified organisms,none,0.9997673606134291
acute bronchitis due to other specified organisms,none,0.999993026983088
acute bronchitis due to respiratory syncytial virus,none,0.996814768503213
acute cystitis,none,0.9999995679801056
acute disseminated encephalitis,none,0.9999972734996952
acute endocarditis unspecified,none,0.9999989423479343
acute gastroenteropathy due to norwalk agent,none,0.9999969310701768
acute hepatitis b without delta-agent with hepatic coma,none,0.9998383398599703
acute hepatitis e,none,0.9999992551639639
acute inflammation of orbit,none,0.9999979887201011
acute laryngitis,none,0.9999907621319094
acute laryngotracheitis,none,0.9999948894358105
