,cause_of_death,category,logprobs
0,Malignant neoplasm Intrahepatic bile duct carcinoma,none,-0.001510703500400723
1,Car occupant injured in noncollision transport accident Driver injured in traffic accident,none,-1.5197347210005319e-05
2,Nocardiosis unspecified,none,-2.2345088979136563e-06
3,Deletion from autosomes unspecified,none,-9.384489629837844e-07
4,Small kidney unspecified,none,-0.0015052800745962713
5,Malignant neoplasm Bladder unspecified,bladder cancer,-2.383326901167493e-06
6,Fetus and newborn affected by maternal use of alcohol,none,-1.012857950399848e-06
7,Other specified disturbances of cerebral status of newborn,none,-1.087266923605057e-06
8,Pilonidal cyst without abscess,none,-1.5640815860251678e-06
9,Other specified disorders of breast,none,-5.808379484051329e-07
10,Encephalopathy unspecified,none,-2.5285610959713267e-05
11,Methaemoglobinaemia unspecified,none,-3.8137708884278254e-06
12,Mucopolysaccharidosis type II,none,-0.00027303223056662773
13,Lichen planus unspecified,none,-1.087266923605057e-06
14,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle Passenger injured in traffic accident,none,-8.640399556725242e-06
15,Pulmonary candidiasis,none,-0.043007775395935255
16,Other and unspecified symptoms and signs involving cognitive functions and awareness,none,-2.979345211429063e-06
17,Cleft palate unspecified,none,-7.000416246683017e-07
18,Congenital malformation syndromes involving early overgrowth,none,-1.4896725986091042e-06
19,Thalassaemia unspecified,none,-4.424969546334978e-06
20,Malignant neoplasm Ill-defined sites within the digestive system,none,-0.01000862624447052
21,Other diseases of larynx,none,-0.3873463413089837
22,Other specified noninfective disorders of lymphatic vessels and lymph nodes,none,-2.9345505367928126e-06
23,GM2 gangliosidosis,none,-2.517710925076244e-06
24,Occupant of heavy transport vehicle injured in noncollision transport accident Person on outside of vehicle injured in nontraffic accident,none,-0.001730805304944738
25,Abnormal weight loss,none,-7.270677059523223e-06
26,Disorder of parathyroid gland unspecified,none,-1.5640816002360225e-06
27,Hypothyroidism unspecified,none,-1.2960599491407265e-06
28,Carcinoma in situ of breast unspecified,none,-4.081792454257993e-06
29,Motorcycle rider injured in collision with railway train or railway vehicle Driver injured in nontraffic accident,none,-1.0250022299373995e-05
30,Pedal cyclist injured in noncollision transport accident Passenger injured in nontraffic accident,none,-8.10435649611918e-06
31,Malignant neoplasm Lower gum,oral cavity cancer,-5.732103389277654e-05
32,Sepsis of newborn due to streptococcus group B,none,-3.5305689038978016e-06
33,Other bacterial infections of unspecified site,none,-1.7576942354935454e-06
34,Sequelae of other specified infectious and parasitic diseases,none,-1.0265202746495561e-05
35,Extrapyramidal and movement disorder unspecified,none,-1.9027045624397942e-05
