,cause_of_death,category,logprobs
0,Malignant neoplasm Intrahepatic bile duct carcinoma,none,-4.320199877838604e-06
1,Car occupant injured in noncollision transport accident Driver injured in traffic accident,none,-5.51223645572918e-06
2,Nocardiosis unspecified,none,-1.4152636254038953e-06
3,Deletion from autosomes unspecified,none,-3.872252989367553e-07
4,Small kidney unspecified,none,-0.004084443360540035
5,Malignant neoplasm Bladder unspecified,bladder cancer,-1.6832852480774818e-06
6,Fetus and newborn affected by maternal use of alcohol,none,-8.192453009314704e-07
7,Other specified disturbances of cerebral status of newborn,none,-1.8321032513313185e-06
8,Pilonidal cyst without abscess,none,-1.3256742761313944e-06
9,Other specified disorders of breast,none,-5.06428975199924e-07
10,Encephalopathy unspecified,none,-5.02098777133142e-06
11,Methaemoglobinaemia unspecified,none,-1.087266923605057e-06
12,Mucopolysaccharidosis type II,none,-0.0009162908929027935
13,Lichen planus unspecified,none,-1.7576942497044001e-06
14,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle Passenger injured in traffic accident,none,-8.804398063944063e-06
15,Pulmonary candidiasis,none,-0.0699457220731432
16,Other and unspecified symptoms and signs involving cognitive functions and awareness,none,-2.8153468747404986e-06
17,Cleft palate unspecified,none,-8.192452867206157e-07
18,Congenital malformation syndromes involving early overgrowth,none,-3.039320176867477e-06
19,Thalassaemia unspecified,none,-3.3521366020750065e-06
20,Malignant neoplasm Ill-defined sites within the digestive system,none,-0.006858037247113202
21,Other diseases of larynx,none,-0.28161299161577347
22,Other specified noninfective disorders of lymphatic vessels and lymph nodes,none,-2.5321448475779107e-06
23,GM2 gangliosidosis,none,-2.592119898281453e-06
24,Occupant of heavy transport vehicle injured in noncollision transport accident Person on outside of vehicle injured in nontraffic accident,none,-0.0028264567779814342
25,Abnormal weight loss,none,-9.222730255942224e-06
26,Disorder of parathyroid gland unspecified,none,-1.2064705998682257e-06
27,Hypothyroidism unspecified,none,-1.2960599491407265e-06
28,Carcinoma in situ of breast unspecified,none,-3.2921615371606094e-06
29,Motorcycle rider injured in collision with railway train or railway vehicle Driver injured in nontraffic accident,none,-6.361096083651319e-06
30,Pedal cyclist injured in noncollision transport accident Passenger injured in nontraffic accident,none,-6.480299759914487e-06
31,Malignant neoplasm Lower gum,oral cavity cancer,-0.0001078633901130388
32,Sepsis of newborn due to streptococcus group B,none,-4.335380239695041e-06
33,Other bacterial infections of unspecified site,none,-8.936542741366793e-07
34,Sequelae of other specified infectious and parasitic diseases,none,-6.585069399989152e-06
35,Extrapyramidal and movement disorder unspecified,none,-2.0338285864340833e-05
